symbol,direction,entry,exit,pnl_t,pnl_d
MNQ.F,-1,26397.0,SL,-10.5,-42.0
MNQ.F,-1,26699.5,SL,-23.0,-92.0
MNQ.F,-1,26678.5,SL,-10.75,-43.0
MNQ.F,-1,26879.25,SL,-39.0,-156.0
