datetime,open,high,low,close,volume
2025-06-05 04:00:00,105340,106555,100815,102215,0
2025-06-06 04:00:00,101865,105945,101390,104770,10118
2025-06-09 04:00:00,106550,109340,105735,109125,7419
2025-06-10 04:00:00,110375,110890,108720,109980,7095
2025-06-11 04:00:00,110225,110855,108765,109160,6715
2025-06-12 04:00:00,108785,109240,106130,107095,8880
2025-06-13 04:00:00,106310,106630,103010,105380,11304
2025-06-16 04:00:00,105080,109250,105060,108920,7846
2025-06-17 04:00:00,108930,109305,103520,104910,12013
2025-06-18 04:00:00,104690,105740,103620,103965,0
2025-06-19 04:00:00,0,0,0,0,0
2025-06-20 04:00:00,105105,106725,102425,103420,12592
2025-06-23 04:00:00,99640,104075,99090,103295,15341
2025-06-24 04:00:00,103965,106430,103850,105745,11444
2025-06-25 04:00:00,106085,108300,105955,107840,9440
2025-06-26 04:00:00,107635,108370,106655,107605,6502
2025-06-27 04:00:00,107235,107850,106455,106689,7519
2025-06-30 04:00:00,108300,109565,107195,108235,8524
2025-07-01 04:00:00,107770,108105,105550,105750,8266
2025-07-02 04:00:00,106125,110455,105440,110285,12710
2025-07-03 13:30:00,110105,111220,109200,110415,0
2025-07-04 04:00:00,110465,110525,107865,108125,0
2025-07-07 04:00:00,109640,110265,107840,108455,8811
2025-07-08 04:00:00,108545,109685,107680,109215,6070
2025-07-09 04:00:00,109400,112590,108625,112245,10179
2025-07-10 04:00:00,111425,114380,110880,113870,9952
2025-07-11 04:00:00,117005,119450,115635,118530,13508
2025-07-14 04:00:00,119265,123615,118675,120235,13303
2025-07-15 04:00:00,120325,120695,116090,116740,14057
2025-07-16 04:00:00,117510,120360,117255,119630,12242
2025-07-17 04:00:00,119830,120265,117720,119290,8349
2025-07-18 04:00:00,120600,121165,117035,117565,12472
2025-07-21 04:00:00,118225,119850,116635,116820,13537
2025-07-22 04:00:00,117255,120535,116275,119505,15169
2025-07-23 04:00:00,119830,120540,117430,118555,9634
2025-07-24 04:00:00,118400,119780,117305,119035,8605
2025-07-25 04:00:00,118680,118760,114720,115485,11239
2025-07-28 04:00:00,120065,121255,118295,119010,7710
2025-07-29 04:00:00,119120,120415,117715,118295,6904
2025-07-30 04:00:00,118460,119740,116460,117620,9059
2025-07-31 04:00:00,117985,119785,117095,117435,8517
2025-08-01 04:00:00,117055,117125,113440,113570,13519
2025-08-04 04:00:00,114365,116315,114300,115285,6446
2025-08-05 04:00:00,115700,115870,113045,114155,6224
2025-08-06 04:00:00,114055,116330,113860,115830,5863
2025-08-07 04:00:00,115635,118240,114685,118165,8082
2025-08-08 04:00:00,117750,118405,116295,116955,6741
2025-08-11 04:00:00,119170,122955,118975,119465,11073
2025-08-12 04:00:00,119185,120755,118600,120155,6998
2025-08-13 04:00:00,120435,123755,119295,123430,9742
2025-08-14 04:00:00,123260,125200,117610,118415,14464
2025-08-15 04:00:00,118180,119810,117175,117235,6722
2025-08-18 04:00:00,117995,118350,114925,116600,6712
2025-08-19 04:00:00,116980,117315,112820,113235,9349
2025-08-20 04:00:00,113520,114640,112485,114465,7322
2025-08-21 04:00:00,114520,115030,112075,112285,6532
2025-08-22 04:00:00,112750,117640,111805,116850,14666
2025-08-25 04:00:00,113450,113800,109590,110910,13329
2025-08-26 04:00:00,110005,111495,108845,111230,10272
2025-08-27 04:00:00,111645,112785,110420,112220,6848
2025-08-28 04:00:00,111590,113540,111020,112025,7560
2025-08-29 04:00:00,112165,112675,108465,108654,0
2025-09-02 04:00:00,109545,112410,107790,111385,10621
2025-09-03 04:00:00,111725,113215,111150,112830,5467
2025-09-04 04:00:00,112710,112840,109720,110245,6606
2025-09-05 04:00:00,110950,113810,110480,111955,9208
2025-09-08 04:00:00,111320,113420,111000,112480,5280
2025-09-09 04:00:00,112820,113840,111015,111695,8145
2025-09-10 04:00:00,111690,114925,111230,113975,9346
2025-09-11 04:00:00,114360,115195,113590,114930,5866
2025-09-12 04:00:00,114915,117320,114850,117265,6959
2025-09-15 04:00:00,116625,117240,114635,115575,7998
2025-09-16 04:00:00,115800,117335,114960,117090,6283
2025-09-17 04:00:00,117205,117685,114850,115825,9267
2025-09-18 04:00:00,116115,118295,116115,117770,9064
2025-09-19 04:00:00,117565,117795,115220,115265,10741
2025-09-22 04:00:00,115525,115655,111970,112250,14288
2025-09-23 04:00:00,113060,113470,111550,111715,11325
2025-09-24 04:00:00,112170,114090,111060,113480,9099
2025-09-25 04:00:00,113480,113775,108555,109385,10692
2025-09-26 04:00:00,109455,109795,108715,109196,6790
2025-09-29 04:00:00,111355,115340,111355,115230,8691
2025-09-30 04:00:00,115045,115765,113460,115185,5668
2025-10-01 04:00:00,115065,119145,114570,118285,7808
2025-10-02 04:00:00,118470,122040,118470,121910,7472
2025-10-03 04:00:00,121295,125025,120405,123635,9012
2025-10-06 04:00:00,123755,127240,123745,126315,8255
2025-10-07 04:00:00,126125,126295,121420,122355,10266
2025-10-08 04:00:00,122820,124940,121950,124070,7275
2025-10-09 04:00:00,123995,124465,120370,121620,8681
2025-10-10 04:00:00,122225,123270,113150,116990,12111
2025-10-13 04:00:00,115750,116515,114110,116380,12111
2025-10-14 04:00:00,116270,116385,110295,113085,11836
2025-10-15 04:00:00,113710,114040,110410,111550,8352
2025-10-16 04:00:00,111080,112280,107720,108445,10146
2025-10-17 04:00:00,108645,109470,103745,106675,11773
