Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-20 00:00:00-04:00,28927.5,28949.25,28870.75,28882.5,0,0.0,0.0
2026-05-20 01:00:00-04:00,28882.0,28983.0,28882.0,28955.0,43155,0.0,0.0
2026-05-20 02:00:00-04:00,28955.0,29040.0,28950.5,29039.25,44754,0.0,0.0
2026-05-20 03:00:00-04:00,29039.0,29065.0,29014.25,29027.5,40307,0.0,0.0
2026-05-20 04:00:00-04:00,29027.0,29136.75,29023.5,29098.75,51121,0.0,0.0
2026-05-20 05:00:00-04:00,29098.25,29149.75,29065.25,29123.75,32608,0.0,0.0
2026-05-20 06:00:00-04:00,29124.75,29158.0,29103.5,29108.0,32919,0.0,0.0
2026-05-20 07:00:00-04:00,29107.75,29128.0,29059.75,29081.5,45149,0.0,0.0
2026-05-20 08:00:00-04:00,29081.75,29170.75,29072.75,29103.75,61404,0.0,0.0
2026-05-20 09:00:00-04:00,29103.5,29195.25,29022.75,29099.75,346452,0.0,0.0
2026-05-20 10:00:00-04:00,29100.5,29280.5,29008.0,29261.5,417938,0.0,0.0
2026-05-20 11:00:00-04:00,29261.5,29395.5,29231.5,29332.0,251425,0.0,0.0
2026-05-20 12:00:00-04:00,29331.75,29337.75,29209.75,29262.25,217683,0.0,0.0
2026-05-20 13:00:00-04:00,29262.5,29326.0,29229.25,29301.25,136784,0.0,0.0
2026-05-20 14:00:00-04:00,29302.0,29345.0,29257.25,29301.25,111885,0.0,0.0
2026-05-20 15:00:00-04:00,29301.0,29396.0,29298.25,29395.5,121575,0.0,0.0
2026-05-20 16:00:00-04:00,29395.0,29397.0,29247.5,29390.5,88788,0.0,0.0
2026-05-20 18:00:00-04:00,29260.0,29279.5,29113.0,29191.5,0,0.0,0.0
2026-05-20 19:00:00-04:00,29191.25,29225.5,29167.0,29192.25,37316,0.0,0.0
2026-05-20 20:00:00-04:00,29190.5,29233.0,29170.25,29220.75,47339,0.0,0.0
2026-05-20 21:00:00-04:00,29221.0,29321.25,29221.0,29313.0,51166,0.0,0.0
2026-05-20 22:00:00-04:00,29313.0,29377.0,29312.0,29329.25,42578,0.0,0.0
2026-05-20 23:00:00-04:00,29329.0,29381.5,29324.75,29361.25,28357,0.0,0.0
2026-05-21 00:00:00-04:00,29378.25,29424.5,29374.25,29419.5,27175,0.0,0.0
2026-05-21 01:00:00-04:00,29420.0,29440.0,29298.0,29366.75,43046,0.0,0.0
2026-05-21 02:00:00-04:00,29366.5,29393.75,29279.25,29300.5,50672,0.0,0.0
2026-05-21 03:00:00-04:00,29300.25,29333.0,29205.0,29321.0,54751,0.0,0.0
2026-05-21 04:00:00-04:00,29321.75,29463.25,29310.25,29373.5,72143,0.0,0.0
2026-05-21 05:00:00-04:00,29373.25,29429.75,29367.5,29381.0,32955,0.0,0.0
2026-05-21 06:00:00-04:00,29381.0,29393.25,29193.25,29246.75,77422,0.0,0.0
2026-05-21 07:00:00-04:00,29246.0,29293.75,29204.25,29253.0,51853,0.0,0.0
2026-05-21 08:00:00-04:00,29253.0,29292.25,29185.75,29193.5,79184,0.0,0.0
2026-05-21 09:00:00-04:00,29193.75,29314.75,29172.25,29288.0,323774,0.0,0.0
2026-05-21 10:00:00-04:00,29287.75,29338.75,29127.25,29234.75,405964,0.0,0.0
2026-05-21 11:00:00-04:00,29234.75,29304.0,29138.0,29266.5,252822,0.0,0.0
2026-05-21 12:00:00-04:00,29266.75,29310.5,29207.0,29257.25,157686,0.0,0.0
2026-05-21 13:00:00-04:00,29257.25,29553.75,29257.25,29496.75,254690,0.0,0.0
2026-05-21 14:00:00-04:00,29497.0,29521.75,29296.5,29337.0,196756,0.0,0.0
2026-05-21 15:00:00-04:00,29337.25,29463.25,29335.25,29445.0,162058,0.0,0.0
2026-05-21 16:00:00-04:00,29445.25,29472.5,29433.5,29455.0,29496,0.0,0.0
2026-05-21 18:00:00-04:00,29450.0,29547.0,29443.5,29538.0,0,0.0,0.0
2026-05-21 19:00:00-04:00,29538.25,29579.25,29529.5,29550.5,24611,0.0,0.0
2026-05-21 20:00:00-04:00,29550.5,29603.0,29522.5,29565.5,53565,0.0,0.0
2026-05-21 21:00:00-04:00,29565.5,29579.25,29537.25,29545.0,20938,0.0,0.0
2026-05-22 00:00:00-04:00,29589.0,29589.75,29576.75,29578.25,596,0.0,0.0
