Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-20 00:00:00-04:00,2748.199951171875,2750.5,2743.60009765625,2744.60009765625,0,0.0,0.0
2026-05-20 01:00:00-04:00,2744.699951171875,2753.10009765625,2744.699951171875,2750.39990234375,1079,0.0,0.0
2026-05-20 02:00:00-04:00,2750.39990234375,2757.0,2749.89990234375,2756.300048828125,1397,0.0,0.0
2026-05-20 03:00:00-04:00,2756.39990234375,2758.89990234375,2754.10009765625,2754.199951171875,1280,0.0,0.0
2026-05-20 04:00:00-04:00,2754.0,2764.199951171875,2753.89990234375,2761.60009765625,1812,0.0,0.0
2026-05-20 05:00:00-04:00,2761.5,2763.699951171875,2758.300048828125,2761.89990234375,1047,0.0,0.0
2026-05-20 06:00:00-04:00,2762.0,2769.39990234375,2761.800048828125,2764.39990234375,1677,0.0,0.0
2026-05-20 07:00:00-04:00,2764.39990234375,2767.300048828125,2761.60009765625,2764.199951171875,1867,0.0,0.0
2026-05-20 08:00:00-04:00,2763.60009765625,2774.60009765625,2763.39990234375,2768.699951171875,3248,0.0,0.0
2026-05-20 09:00:00-04:00,2768.699951171875,2783.199951171875,2756.199951171875,2779.10009765625,18145,0.0,0.0
2026-05-20 10:00:00-04:00,2779.199951171875,2808.10009765625,2769.699951171875,2806.800048828125,30899,0.0,0.0
2026-05-20 11:00:00-04:00,2806.60009765625,2821.800048828125,2801.60009765625,2814.60009765625,22329,0.0,0.0
2026-05-20 12:00:00-04:00,2814.60009765625,2817.300048828125,2804.10009765625,2809.800048828125,9818,0.0,0.0
2026-05-20 13:00:00-04:00,2809.800048828125,2817.5,2805.699951171875,2811.5,8765,0.0,0.0
2026-05-20 14:00:00-04:00,2811.60009765625,2817.0,2808.699951171875,2811.89990234375,5696,0.0,0.0
2026-05-20 15:00:00-04:00,2812.199951171875,2824.0,2812.0,2820.5,11681,0.0,0.0
2026-05-20 16:00:00-04:00,2820.39990234375,2821.89990234375,2817.60009765625,2821.0,4053,0.0,0.0
2026-05-20 18:00:00-04:00,2817.89990234375,2819.699951171875,2808.199951171875,2809.699951171875,0,0.0,0.0
2026-05-20 19:00:00-04:00,2809.89990234375,2811.699951171875,2807.89990234375,2810.60009765625,1072,0.0,0.0
2026-05-20 20:00:00-04:00,2810.699951171875,2810.699951171875,2803.800048828125,2808.5,2066,0.0,0.0
2026-05-20 21:00:00-04:00,2808.800048828125,2817.800048828125,2808.39990234375,2815.60009765625,1953,0.0,0.0
2026-05-20 22:00:00-04:00,2815.699951171875,2819.199951171875,2814.699951171875,2815.699951171875,929,0.0,0.0
2026-05-20 23:00:00-04:00,2815.800048828125,2819.10009765625,2815.5,2816.89990234375,743,0.0,0.0
2026-05-21 00:00:00-04:00,2818.0,2820.89990234375,2817.800048828125,2820.5,694,0.0,0.0
2026-05-21 01:00:00-04:00,2820.39990234375,2822.0,2810.199951171875,2816.0,1332,0.0,0.0
2026-05-21 02:00:00-04:00,2815.89990234375,2819.300048828125,2808.699951171875,2811.0,1876,0.0,0.0
2026-05-21 03:00:00-04:00,2811.0,2814.800048828125,2807.800048828125,2814.300048828125,1389,0.0,0.0
2026-05-21 04:00:00-04:00,2814.699951171875,2829.89990234375,2814.60009765625,2819.39990234375,2821,0.0,0.0
2026-05-21 05:00:00-04:00,2819.0,2824.199951171875,2817.89990234375,2819.699951171875,1134,0.0,0.0
2026-05-21 06:00:00-04:00,2819.699951171875,2822.89990234375,2794.60009765625,2799.699951171875,5911,0.0,0.0
2026-05-21 07:00:00-04:00,2799.89990234375,2810.10009765625,2797.89990234375,2806.699951171875,3431,0.0,0.0
2026-05-21 08:00:00-04:00,2807.0,2809.300048828125,2798.800048828125,2803.60009765625,5099,0.0,0.0
2026-05-21 09:00:00-04:00,2802.89990234375,2827.800048828125,2792.89990234375,2826.300048828125,24295,0.0,0.0
2026-05-21 10:00:00-04:00,2826.5,2834.89990234375,2814.800048828125,2824.0,22530,0.0,0.0
2026-05-21 11:00:00-04:00,2824.300048828125,2829.800048828125,2816.39990234375,2820.800048828125,12135,0.0,0.0
2026-05-21 12:00:00-04:00,2821.10009765625,2829.60009765625,2817.800048828125,2821.89990234375,7268,0.0,0.0
2026-05-21 13:00:00-04:00,2822.0,2858.800048828125,2820.699951171875,2850.199951171875,24333,0.0,0.0
2026-05-21 14:00:00-04:00,2850.199951171875,2857.60009765625,2836.300048828125,2841.10009765625,16355,0.0,0.0
2026-05-21 15:00:00-04:00,2841.300048828125,2850.300048828125,2840.60009765625,2847.0,13458,0.0,0.0
2026-05-21 16:00:00-04:00,2846.89990234375,2849.0,2845.89990234375,2846.89990234375,1753,0.0,0.0
2026-05-21 18:00:00-04:00,2847.10009765625,2853.10009765625,2846.699951171875,2852.5,0,0.0,0.0
2026-05-21 19:00:00-04:00,2852.39990234375,2855.60009765625,2850.39990234375,2853.60009765625,1043,0.0,0.0
2026-05-21 20:00:00-04:00,2853.699951171875,2856.60009765625,2852.10009765625,2854.89990234375,1353,0.0,0.0
2026-05-21 21:00:00-04:00,2854.800048828125,2855.10009765625,2852.0,2853.0,680,0.0,0.0
2026-05-22 00:00:00-04:00,2860.10009765625,2860.199951171875,2859.0,2859.10009765625,14,0.0,0.0
