Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-20 00:00:00-04:00,7370.25,7374.75,7362.25,7364.0,0,0.0,0.0
2026-05-20 01:00:00-04:00,7364.0,7381.0,7364.0,7376.75,15918,0.0,0.0
2026-05-20 02:00:00-04:00,7376.5,7389.5,7375.5,7389.5,18603,0.0,0.0
2026-05-20 03:00:00-04:00,7389.25,7392.75,7384.5,7385.25,14246,0.0,0.0
2026-05-20 04:00:00-04:00,7385.25,7403.75,7384.75,7397.75,21931,0.0,0.0
2026-05-20 05:00:00-04:00,7397.5,7405.75,7392.25,7402.0,13170,0.0,0.0
2026-05-20 06:00:00-04:00,7402.0,7412.25,7399.25,7400.75,17199,0.0,0.0
2026-05-20 07:00:00-04:00,7400.25,7408.0,7395.5,7399.0,20960,0.0,0.0
2026-05-20 08:00:00-04:00,7398.75,7416.25,7397.5,7402.75,31163,0.0,0.0
2026-05-20 09:00:00-04:00,7402.5,7410.75,7380.75,7399.5,176748,0.0,0.0
2026-05-20 10:00:00-04:00,7399.75,7433.5,7376.75,7430.75,314472,0.0,0.0
2026-05-20 11:00:00-04:00,7430.75,7458.0,7424.25,7441.25,215938,0.0,0.0
2026-05-20 12:00:00-04:00,7441.5,7444.25,7423.5,7432.25,137975,0.0,0.0
2026-05-20 13:00:00-04:00,7433.0,7446.25,7426.25,7437.75,86954,0.0,0.0
2026-05-20 14:00:00-04:00,7437.5,7447.25,7431.25,7440.25,65106,0.0,0.0
2026-05-20 15:00:00-04:00,7440.25,7454.5,7438.75,7451.5,94215,0.0,0.0
2026-05-20 16:00:00-04:00,7451.5,7453.75,7429.25,7451.75,48368,0.0,0.0
2026-05-20 18:00:00-04:00,7433.25,7433.25,7407.5,7419.25,0,0.0,0.0
2026-05-20 19:00:00-04:00,7419.25,7425.75,7415.5,7420.75,16653,0.0,0.0
2026-05-20 20:00:00-04:00,7420.5,7424.75,7412.5,7422.5,22214,0.0,0.0
2026-05-20 21:00:00-04:00,7422.75,7437.5,7422.75,7435.0,19855,0.0,0.0
2026-05-20 22:00:00-04:00,7435.25,7444.75,7435.0,7438.5,13169,0.0,0.0
2026-05-20 23:00:00-04:00,7438.75,7448.0,7438.0,7444.25,9434,0.0,0.0
2026-05-21 00:00:00-04:00,7446.5,7454.0,7446.0,7453.25,8706,0.0,0.0
2026-05-21 01:00:00-04:00,7453.25,7457.5,7433.75,7446.0,18310,0.0,0.0
2026-05-21 02:00:00-04:00,7445.75,7451.25,7432.75,7438.0,21028,0.0,0.0
2026-05-21 03:00:00-04:00,7438.0,7441.75,7426.25,7440.25,18312,0.0,0.0
2026-05-21 04:00:00-04:00,7440.5,7470.0,7439.5,7452.5,33550,0.0,0.0
2026-05-21 05:00:00-04:00,7452.25,7463.75,7451.5,7454.75,16821,0.0,0.0
2026-05-21 06:00:00-04:00,7454.75,7459.0,7415.0,7423.5,59703,0.0,0.0
2026-05-21 07:00:00-04:00,7423.5,7437.75,7418.75,7430.25,28713,0.0,0.0
2026-05-21 08:00:00-04:00,7430.0,7436.5,7417.5,7419.5,42282,0.0,0.0
2026-05-21 09:00:00-04:00,7419.25,7438.75,7410.0,7435.5,203656,0.0,0.0
2026-05-21 10:00:00-04:00,7435.25,7443.75,7411.75,7426.75,248576,0.0,0.0
2026-05-21 11:00:00-04:00,7426.75,7435.5,7407.75,7430.25,186161,0.0,0.0
2026-05-21 12:00:00-04:00,7430.0,7437.25,7418.0,7426.25,105596,0.0,0.0
2026-05-21 13:00:00-04:00,7426.25,7486.75,7426.25,7474.5,233594,0.0,0.0
2026-05-21 14:00:00-04:00,7474.5,7478.75,7438.0,7447.75,149365,0.0,0.0
2026-05-21 15:00:00-04:00,7447.75,7469.75,7447.25,7465.0,116867,0.0,0.0
2026-05-21 16:00:00-04:00,7465.0,7472.5,7463.25,7467.25,17714,0.0,0.0
2026-05-21 18:00:00-04:00,7467.5,7479.0,7466.5,7478.0,0,0.0,0.0
2026-05-21 19:00:00-04:00,7478.0,7483.5,7476.25,7479.5,9442,0.0,0.0
2026-05-21 20:00:00-04:00,7480.0,7488.75,7476.5,7484.5,19861,0.0,0.0
2026-05-21 21:00:00-04:00,7484.25,7485.5,7480.0,7481.0,8962,0.0,0.0
2026-05-22 00:00:00-04:00,7492.5,7492.5,7490.25,7490.5,198,0.0,0.0
