M2K.F,2026-04-27 05:15 EST,2795.3,2800.08,1,,2,10,10,20,2794.6,2769.6,2819.6,2844.6,47.78
MYM.F,2026-04-27 05:15 EST,49324.0,49421.25,1,,2,10,10,20,49315.5,49313.0,49318.0,49320.5,97.25
M6E.F,2026-04-27 05:15 EST,1.1773,1.1785,0,,2,10,10,20,,,,,-30.2
M6A.F,2026-04-27 05:15 EST,0.718,0.718,0,,2,10,10,20,,,,,0.8
MCL.F,2026-04-27 05:15 EST,96.57,96.97,1,,1,10,10,20,96.47,-903.53,1096.47,2096.47,39.6
MES.F,2026-04-27 05:15 EST,7188.75,7211.07,0,,2,10,10,20,,,,,-223.18
MNQ.F,2026-04-27 05:15 EST,27447.75,27477.15,0,,2,10,10,20,,,,,-117.6
M2K.F,2026-04-27 05:15 EST,2795.3,2794.91,0,,2,10,10,20,,,,,3.88
MYM.F,2026-04-27 05:15 EST,49324.0,49317.02,0,,2,10,10,20,,,,,6.98
M6E.F,2026-04-27 05:15 EST,1.1773,1.1783,0,,2,10,10,20,,,,,-24.33
M6A.F,2026-04-27 05:15 EST,0.718,0.7172,0,,2,10,10,20,,,,,16.56
MCL.F,2026-04-27 05:15 EST,96.57,96.69,1,,1,10,10,20,96.47,-903.53,1096.47,2096.47,12.5
MES.F,2026-04-27 05:15 EST,7188.75,7165.17,-1,,2,10,10,20,7190.02,7215.02,7165.02,7140.02,235.78
MNQ.F,2026-04-27 05:15 EST,27447.75,27539.63,0,,2,10,10,20,,,,,-367.53
M2K.F,2026-04-27 05:15 EST,2795.3,2794.74,0,,2,10,10,20,,,,,5.59
MYM.F,2026-04-27 05:15 EST,49324.0,49296.46,0,,2,10,10,20,,,,,27.54
M6E.F,2026-04-27 05:15 EST,1.1773,1.1769,0,,2,10,10,20,,,,,9.98
M6A.F,2026-04-27 05:15 EST,0.718,0.7167,0,,2,10,10,20,,,,,26.93
MCL.F,2026-04-27 05:15 EST,96.57,97.8,1,,1,10,10,20,96.47,-903.53,1096.47,2096.47,122.87
MES.F,2026-04-27 05:15 EST,7188.75,7185.47,-1,,2,10,10,20,7190.02,7215.02,7165.02,7140.02,32.82
MNQ.F,2026-04-27 05:15 EST,27447.75,27442.46,0,,2,10,10,20,,,,,21.15
M2K.F,2026-04-27 05:15 EST,2795.3,2792.39,0,,2,10,10,20,,,,,29.13
MYM.F,2026-04-27 05:15 EST,49324.0,49105.86,0,,2,10,10,20,,,,,218.14
M6E.F,2026-04-27 05:15 EST,1.1773,1.1774,0,,2,10,10,20,,,,,-1.29
M6A.F,2026-04-27 05:15 EST,0.718,0.7178,0,,2,10,10,20,,,,,4.23
MCL.F,2026-04-27 05:15 EST,96.57,96.62,0,,1,10,10,20,,,,,-5.23
MES.F,2026-04-27 05:15 EST,7188.75,7194.74,0,,2,10,10,20,,,,,-59.89
MNQ.F,2026-04-27 05:15 EST,27447.75,27387.55,0,,2,10,10,20,,,,,240.81
M2K.F,2026-04-27 05:15 EST,2795.3,2794.04,0,,2,10,10,20,,,,,12.57
MYM.F,2026-04-27 05:15 EST,49324.0,49443.36,1,,2,10,10,20,49315.5,49313.0,49318.0,49320.5,119.36
M6E.F,2026-04-27 05:15 EST,1.1773,1.1773,0,,2,10,10,20,,,,,-0.61
M6A.F,2026-04-27 05:15 EST,0.718,0.7168,0,,2,10,10,20,,,,,24.45
MCL.F,2026-04-27 05:15 EST,96.57,98.99,1,,1,10,10,20,96.47,-903.53,1096.47,2096.47,241.65
MES.F,2026-04-27 05:15 EST,7188.75,7185.87,-1,,2,10,10,20,7190.02,7215.02,7165.02,7140.02,28.81
MNQ.F,2026-04-27 05:15 EST,27447.75,27316.03,0,,2,10,10,20,,,,,526.89
M2K.F,2026-04-27 05:15 EST,2795.3,2790.88,0,,2,10,10,20,,,,,44.17
MYM.F,2026-04-27 05:15 EST,49324.0,49232.17,0,,2,10,10,20,,,,,91.83
M6E.F,2026-04-27 05:15 EST,1.1773,1.1774,0,,2,10,10,20,,,,,-2.31
M6A.F,2026-04-27 05:15 EST,0.718,0.7182,0,,2,10,10,20,,,,,-4.32
MCL.F,2026-04-27 05:15 EST,96.57,95.64,0,,1,10,10,20,,,,,92.99
MES.F,2026-04-27 05:15 EST,7188.75,7197.98,0,,2,10,10,20,,,,,-92.31
MNQ.F,2026-04-27 05:15 EST,27447.75,27482.84,0,,2,10,10,20,,,,,-140.34
M2K.F,2026-04-27 05:15 EST,2795.3,2795.02,0,,2,10,10,20,,,,,2.84
MYM.F,2026-04-27 05:15 EST,49324.0,49329.92,0,,2,10,10,20,,,,,-5.93
M6E.F,2026-04-27 05:15 EST,1.1773,1.1761,0,,2,10,10,20,,,,,30.83
M6A.F,2026-04-27 05:15 EST,0.718,0.7184,0,,2,10,10,20,,,,,-7.21
MCL.F,2026-04-27 05:15 EST,96.57,95.11,0,,1,10,10,20,,,,,145.62
MES.F,2026-04-27 05:15 EST,7188.75,7195.28,0,,2,10,10,20,,,,,-65.33
MNQ.F,2026-04-27 05:15 EST,27447.75,27563.89,0,,2,10,10,20,,,,,-464.56
M2K.F,2026-04-27 05:15 EST,2795.3,2794.69,0,,2,10,10,20,,,,,6.08
MYM.F,2026-04-27 05:15 EST,49324.0,49420.34,1,,2,10,10,20,49315.5,49313.0,49318.0,49320.5,96.34
M6E.F,2026-04-27 05:15 EST,1.1773,1.1774,0,,2,10,10,20,,,,,-1.84
M6A.F,2026-04-27 05:15 EST,0.718,0.7175,0,,2,10,10,20,,,,,10.14
MCL.F,2026-04-27 05:15 EST,96.57,97.14,1,,1,10,10,20,96.47,-903.53,1096.47,2096.47,57.44
MES.F,2026-04-27 05:15 EST,7188.75,7219.31,0,,2,10,10,20,,,,,-305.6
MNQ.F,2026-04-27 05:15 EST,27447.75,27416.27,0,,2,10,10,20,,,,,125.92
M2K.F,2026-04-27 05:15 EST,2795.3,2795.04,0,,2,10,10,20,,,,,2.63
MYM.F,2026-04-27 05:15 EST,49324.0,49326.08,0,,2,10,10,20,,,,,-2.09
M6E.F,2026-04-27 05:15 EST,1.1773,1.1804,0,,2,10,10,20,,,,,-77.53
M6A.F,2026-04-27 05:15 EST,0.718,0.7159,0,,2,10,10,20,,,,,41.1
MCL.F,2026-04-27 05:15 EST,96.57,96.04,0,,1,10,10,20,,,,,53.22
