symbol,direction,entry,exit,pnl_t,pnl_d
MYM.F,-1,48392.0,SL,-29.0,-29.0
MYM.F,-1,48592.0,SL,-23.0,-23.0
MYM.F,-1,48618.0,SL,-61.0,-61.0
MYM.F,-1,49542.0,TP1,54.0,54.0
MYM.F,-1,49315.0,SL,-47.0,-47.0
MYM.F,-1,49335.0,SL,-33.0,-33.0
