datetime,open,high,low,close,volume
2025-06-02 04:00:00,2552.5,2582,2488.5,2548,8459
2025-06-03 04:00:00,2571.5,2673,2571,2640,7992
2025-06-04 04:00:00,2610,2697,2600,2641,7016
2025-06-05 04:00:00,2633,2660,2406,2540,0
2025-06-06 04:00:00,2443,2545.5,2395,2497,9510
2025-06-09 04:00:00,2544,2605,2487,2593,8386
2025-06-10 04:00:00,2654,2819.5,2653,2785.5,15684
2025-06-11 04:00:00,2790.5,2891,2768,2824,11889
2025-06-12 04:00:00,2788,2797,2629.5,2704.5,10691
2025-06-13 04:00:00,2645.5,2670,2446,2535.5,23470
2025-06-16 04:00:00,2527,2687.5,2522.5,2666.5,9650
2025-06-17 04:00:00,2660,2666,2459.5,2535.5,17794
2025-06-18 04:00:00,2526.5,2553.5,2471.5,2497,0
2025-06-19 04:00:00,0,0,0,0,0
2025-06-20 04:00:00,2533,2575,2371.5,2418.5,19257
2025-06-23 04:00:00,2186,2382,2175,2315.5,21428
2025-06-24 04:00:00,2346.5,2485,2344,2436.5,17692
2025-06-25 04:00:00,2449,2472.5,2391,2433.5,13569
2025-06-26 04:00:00,2429.5,2522.5,2409,2438,6989
2025-06-27 04:00:00,2412,2459.5,2385,2425.300048828125,6738
2025-06-30 04:00:00,2455,2542,2446.5,2532,8859
2025-07-01 04:00:00,2507.5,2515.5,2404.5,2417,8161
2025-07-02 04:00:00,2415.5,2623,2383.5,2620.5,11755
2025-07-03 13:30:00,2612.5,2651.5,2571.5,2600.5,0
2025-07-04 04:00:00,2612,2632,2486.5,2500,0
2025-07-07 04:00:00,2594,2613,2522,2553,9134
2025-07-08 04:00:00,2552,2639.5,2531.5,2621,8031
2025-07-09 04:00:00,2624,2808,2599,2776.5,12677
2025-07-10 04:00:00,2769,2853.5,2769,2829,10604
2025-07-11 04:00:00,2988,3054,2925,3022,19937
2025-07-14 04:00:00,2977,3095.5,2950,3009.5,12235
2025-07-15 04:00:00,3022.5,3109.5,2945,3052,14337
2025-07-16 04:00:00,3090,3437,3080,3392.5,22157
2025-07-17 04:00:00,3384,3495,3324.5,3423,21474
2025-07-18 04:00:00,3476,3684.5,3461.5,3557,25332
2025-07-21 04:00:00,3780,3865.5,3690,3739,22892
2025-07-22 04:00:00,3756,3805.5,3624,3677.5,26468
2025-07-23 04:00:00,3715,3772,3548.5,3594.5,24888
2025-07-24 04:00:00,3599.5,3779.5,3516.5,3740.5,14480
2025-07-25 04:00:00,3731,3745.5,3586.5,3669.949951171875,14012
2025-07-28 04:00:00,3870,3979,3783,3823,13309
2025-07-29 04:00:00,3823,3920,3744,3789.5,12876
2025-07-30 04:00:00,3806,3861.5,3701,3782.5,11436
2025-07-31 04:00:00,3788,3907,3736.5,3758,11743
2025-08-01 04:00:00,3741,3748.5,3502.5,3528,22835
2025-08-04 04:00:00,3515.5,3738.5,3494,3690,13571
2025-08-05 04:00:00,3737,3756.5,3570.5,3588,10079
