datetime,open,high,low,close,volume
2026-05-26 00:00:00-04:00,7540.5,7542.5,7538.0,7542.5,1811
2026-05-26 00:15:00-04:00,7542.5,7543.0,7540.0,7540.0,1536
2026-05-26 00:30:00-04:00,7540.0,7542.25,7539.25,7539.75,1110
2026-05-26 00:45:00-04:00,7539.75,7540.0,7537.25,7538.5,1895
2026-05-26 01:00:00-04:00,7538.5,7539.75,7535.5,7539.0,2017
2026-05-26 01:15:00-04:00,7539.0,7540.5,7538.25,7539.75,1209
2026-05-26 01:30:00-04:00,7539.5,7541.25,7537.25,7538.75,1267
2026-05-26 01:45:00-04:00,7538.5,7539.5,7536.0,7537.25,1319
2026-05-26 02:00:00-04:00,7537.5,7541.5,7536.0,7541.0,2595
2026-05-26 02:15:00-04:00,7541.25,7543.75,7536.25,7538.75,4937
2026-05-26 02:30:00-04:00,7538.75,7544.25,7537.75,7542.75,2769
2026-05-26 02:45:00-04:00,7542.25,7542.5,7538.75,7539.75,1385
2026-05-26 03:00:00-04:00,7539.75,7541.0,7529.25,7532.5,7653
2026-05-26 03:15:00-04:00,7532.75,7533.5,7528.5,7530.75,3720
2026-05-26 03:30:00-04:00,7531.0,7533.0,7525.25,7532.75,4819
2026-05-26 03:45:00-04:00,7532.75,7535.0,7528.25,7531.25,2752
2026-05-26 04:00:00-04:00,7531.75,7533.25,7528.25,7530.0,2508
2026-05-26 04:15:00-04:00,7530.0,7532.75,7529.25,7531.0,1455
2026-05-26 04:30:00-04:00,7531.0,7532.5,7528.5,7531.5,1819
2026-05-26 04:45:00-04:00,7531.5,7533.5,7529.5,7533.0,1733
2026-05-26 05:00:00-04:00,7533.0,7534.25,7530.5,7531.0,1650
2026-05-26 05:15:00-04:00,7530.75,7537.5,7529.75,7537.5,4002
2026-05-26 05:30:00-04:00,7537.25,7539.0,7536.0,7536.25,2218
2026-05-26 05:45:00-04:00,7536.0,7538.75,7536.0,7537.5,1231
2026-05-26 06:00:00-04:00,7537.75,7542.0,7536.5,7541.75,2496
2026-05-26 06:15:00-04:00,7541.75,7547.5,7540.75,7546.25,4596
2026-05-26 06:30:00-04:00,7546.25,7551.25,7544.25,7545.0,5031
2026-05-26 06:45:00-04:00,7545.0,7545.25,7542.25,7542.5,3227
2026-05-26 07:00:00-04:00,7542.5,7544.25,7540.25,7540.25,2649
2026-05-26 07:15:00-04:00,7540.25,7544.0,7539.75,7541.25,3048
2026-05-26 07:30:00-04:00,7541.25,7543.5,7532.25,7540.5,8923
2026-05-26 07:45:00-04:00,7540.75,7542.0,7539.25,7540.25,2889
2026-05-26 08:00:00-04:00,7540.0,7542.5,7535.75,7541.0,8269
2026-05-26 08:15:00-04:00,7541.0,7546.0,7540.0,7545.0,4077
2026-05-26 08:30:00-04:00,7545.25,7548.25,7543.25,7545.25,4231
2026-05-26 08:45:00-04:00,7545.25,7546.0,7542.75,7544.0,3495
2026-05-26 09:00:00-04:00,7543.75,7544.75,7540.25,7542.75,5086
2026-05-26 09:15:00-04:00,7542.75,7544.0,7534.0,7534.25,9232
2026-05-26 09:30:00-04:00,7534.0,7540.75,7524.75,7540.0,72942
2026-05-26 09:45:00-04:00,7540.0,7545.0,7529.5,7541.5,59130
2026-05-26 10:00:00-04:00,7541.5,7548.5,7538.75,7548.0,36067
2026-05-26 10:15:00-04:00,7548.0,7552.75,7545.25,7549.75,35293
2026-05-26 10:30:00-04:00,7549.5,7555.25,7547.25,7554.25,33849
2026-05-26 10:45:00-04:00,7554.25,7554.75,7545.75,7547.75,26974
2026-05-26 11:00:00-04:00,7548.0,7548.75,7537.25,7539.5,43190
2026-05-26 11:15:00-04:00,7539.5,7539.5,7530.75,7532.0,37076
2026-05-26 11:30:00-04:00,7531.75,7533.75,7525.25,7527.25,36783
2026-05-26 11:45:00-04:00,7527.25,7528.0,7517.0,7523.0,43727
